ADJ,COMPV,,Brummier,Brummie
ADJ,,SPRL,Brummiest,Brummie
ADJ,COMPV,,Christmassier,Christmassy
ADJ,,SPRL,Christmassiest,Christmassy
ADJ,COMPV,,Greeker,Greek
ADJ,,SPRL,Greekest,Greek
ADJ,COMPV,,Hallowe'enier,Hallowe'eny
ADJ,,SPRL,Hallowe'eniest,Hallowe'eny
ADJ,COMPV,,Halloweenier,Halloweeny
ADJ,,SPRL,Halloweeniest,Halloweeny
ADJ,COMPV,,WASPier,WASPy
ADJ,,SPRL,WASPiest,WASPy
ADJ,COMPV,,abrupter,abrupt
ADJ,,SPRL,abruptest,abrupt
ADJ,COMPV,,absoluter,absolute
ADJ,,SPRL,absolutest,absolute
ADJ,COMPV,,abstruser,abstruse
ADJ,,SPRL,abstrusest,abstruse
ADJ,COMPV,,absurder,absurd
ADJ,,SPRL,absurdest,absurd
ADJ,COMPV,,accurater,accurate
ADJ,,SPRL,accuratest,accurate
ADJ,COMPV,,acerber,acerb
ADJ,,SPRL,acerbest,acerb
ADJ,COMPV,,achier,achy
ADJ,,SPRL,achiest,achy
ADJ,COMPV,,acrider,acrid
ADJ,,SPRL,acridest,acrid
ADJ,COMPV,,acuter,acute
ADJ,,SPRL,acutest,acute
ADJ,COMPV,,adepter,adept
ADJ,,SPRL,adeptest,adept
ADJ,COMPV,,adroiter,adroit
ADJ,,SPRL,adroitest,adroit
ADJ,COMPV,,adverser,adverse
ADJ,,SPRL,adversest,adverse
ADJ,COMPV,,aerier,aery
ADJ,,SPRL,aeriest,aery
ADJ,COMPV,,agiler,agile
ADJ,,SPRL,agilest,agile
ADJ,COMPV,,airworthier,airworthy
ADJ,,SPRL,airworthiest,airworthy
ADJ,COMPV,,airier,airy
ADJ,,SPRL,airiest,airy
ADJ,COMPV,,aisier,aisy
ADJ,,SPRL,aisiest,aisy
ADJ,COMPV,,alonelier,alonely
ADJ,,SPRL,aloneliest,alonely
ADJ,COMPV,,ambitiouser,ambitious
ADJ,,SPRL,ambitiousest,ambitious
ADJ,COMPV,,ampler,ample
ADJ,,SPRL,amplest,ample
ADJ,COMPV,,ancienter,ancient
ADJ,,SPRL,ancientest,ancient
ADJ,COMPV,,angrier,angry
ADJ,,SPRL,angriest,angry
ADJ,COMPV,,angstier,angsty
ADJ,,SPRL,angstiest,angsty
ADJ,COMPV,,antienter,antient
ADJ,,SPRL,antientest,antient
ADJ,COMPV,,antiquer,antique
ADJ,,SPRL,antiquest,antique
ADJ,COMPV,,antlier,antly
ADJ,,SPRL,antliest,antly
ADJ,COMPV,,antsier,antsy
ADJ,,SPRL,antsiest,antsy
ADJ,COMPV,,anxiouser,anxious
ADJ,,SPRL,anxiousest,anxious
ADJ,COMPV,,apter,apt
ADJ,,SPRL,aptest,apt
ADJ,COMPV,,arider,arid
ADJ,,SPRL,aridest,arid
ADJ,COMPV,,arranter,arrant
ADJ,,SPRL,arrantest,arrant
ADJ,COMPV,,artsy-fartsier,artsy-fartsy
ADJ,,SPRL,artsy-fartsiest,artsy-fartsy
ADJ,COMPV,,artsier,artsy
ADJ,,SPRL,artsiest,artsy
ADJ,COMPV,,artier,arty
ADJ,,SPRL,artiest,arty
ADJ,COMPV,,easier than rolling off a log,as easy as rolling off a log
ADJ,,SPRL,-,as easy as rolling off a log
ADJ,COMPV,,ashier,ashy
ADJ,,SPRL,ashiest,ashy
ADJ,COMPV,,astuter,astute
ADJ,,SPRL,astutest,astute
ADJ,COMPV,,atterlier,atterly
ADJ,,SPRL,atterliest,atterly
ADJ,COMPV,,atterier,attery
ADJ,,SPRL,atteriest,attery
ADJ,COMPV,,attrier,attry
ADJ,,SPRL,attriest,attry
ADJ,COMPV,,aulder,auld
ADJ,,SPRL,auldest,auld
ADJ,COMPV,,auncienter,auncient
ADJ,,SPRL,auncientest,auncient
ADJ,COMPV,,auntienter,auntient
ADJ,,SPRL,auntientest,auntient
ADJ,COMPV,,auntlier,auntly
ADJ,,SPRL,auntliest,auntly
ADJ,COMPV,,austerer,austere
ADJ,,SPRL,austerest,austere
ADJ,COMPV,,awarer,aware
ADJ,,SPRL,awarest,aware
ADJ,COMPV,,awfuller,awful
